strata,variable,estimate,lci,uci,type,group,est_ci,n,stratification
Excluded,age_category10,0.3,0.1,0.4,Grouped,"[18,30]","0.3 (0.1, 0.4)",4786,status
Excluded,age_category10,4.4,3.5,5.3,Grouped,"(30,40]","4.4 (3.5, 5.3)",4786,status
Excluded,age_category10,28.4,26,30.9,Grouped,"(40,50]","28.4 (26, 30.9)",4786,status
Excluded,age_category10,26.8,24.4,29.3,Grouped,"(50,60]","26.8 (24.4, 29.3)",4786,status
Excluded,age_category10,20.7,18.3,23.1,Grouped,"(60,70]","20.7 (18.3, 23.1)",4786,status
Excluded,age_category10,13,8.5,17.5,Grouped,"(70,80]","13 (8.5, 17.5)",4786,status
Excluded,age_category10,6.1,4.5,7.7,Grouped,"(80,100]","6.1 (4.5, 7.7)",4786,status
Excluded,age_category10,0.3,0.1,0.5,Grouped,NA,"0.3 (0.1, 0.5)",4786,status
Analytic,education,10.2,8,12.4,Grouped,Higher,"10.2 (8, 12.4)",68596,status
Analytic,education,60.4,58,62.9,Grouped,No education,"60.4 (58, 62.9)",68596,status
Analytic,education,21.4,20.7,22.1,Grouped,Primary,"21.4 (20.7, 22.1)",68596,status
Analytic,education,8,7.4,8.6,Grouped,Secondary,"8 (7.4, 8.6)",68596,status
Excluded,education,12.3,10.1,14.5,Grouped,Higher,"12.3 (10.1, 14.5)",4800,status
Excluded,education,59.1,54.8,63.5,Grouped,No education,"59.1 (54.8, 63.5)",4800,status
Excluded,education,18.1,15.9,20.3,Grouped,Primary,"18.1 (15.9, 20.3)",4800,status
Excluded,education,10.4,6.1,14.8,Grouped,Secondary,"10.4 (6.1, 14.8)",4800,status
Analytic,caste,26.6,24.8,28.4,Grouped,General,"26.6 (24.8, 28.4)",68596,status
Analytic,caste,45.7,43.1,48.3,Grouped,OBC,"45.7 (43.1, 48.3)",68596,status
Analytic,caste,19.3,17.8,20.8,Grouped,Scheduled Caste,"19.3 (17.8, 20.8)",68596,status
Analytic,caste,8.4,7.4,9.4,Grouped,Scheduled Tribe,"8.4 (7.4, 9.4)",68596,status
Excluded,caste,29.4,26.3,32.5,Grouped,General,"29.4 (26.3, 32.5)",4800,status
Excluded,caste,42.8,38.5,47.1,Grouped,OBC,"42.8 (38.5, 47.1)",4800,status
Excluded,caste,17,14.5,19.4,Grouped,Scheduled Caste,"17 (14.5, 19.4)",4800,status
Excluded,caste,10.8,8.5,13.1,Grouped,Scheduled Tribe,"10.8 (8.5, 13.1)",4800,status
Analytic,religion,82,80.4,83.6,Grouped,Hindu,"82 (80.4, 83.6)",68596,status
Analytic,religion,11.6,10,13.2,Grouped,Muslim,"11.6 (10, 13.2)",68596,status
Analytic,religion,6.4,5.7,7.1,Grouped,Other,"6.4 (5.7, 7.1)",68596,status
Excluded,religion,80.8,75.8,85.8,Grouped,Hindu,"80.8 (75.8, 85.8)",4800,status
Excluded,religion,12.4,7.8,16.9,Grouped,Muslim,"12.4 (7.8, 16.9)",4800,status
Excluded,religion,6.8,5,8.7,Grouped,Other,"6.8 (5, 8.7)",4800,status
Analytic,bmi_category,19.8,18.9,20.7,Grouped,Underweight,"19.8 (18.9, 20.7)",66057,status
Analytic,bmi_category,49.2,47.7,50.8,Grouped,Normal,"49.2 (47.7, 50.8)",66057,status
Analytic,bmi_category,19.8,18.6,21.1,Grouped,Overweight,"19.8 (18.6, 21.1)",66057,status
Analytic,bmi_category,7.1,6.1,8,Grouped,Obese,"7.1 (6.1, 8)",66057,status
Analytic,bmi_category,4.1,3.3,4.8,Grouped,NA,"4.1 (3.3, 4.8)",66057,status
