"","var_name","var_desc","var_type","class","var_labels","var_levels"
"26","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","25 Daman and Diu",25
"27","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","26 Dadra and Nagar Haveli",26
"28","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","27 Maharashtra",27
"29","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","28 Andhra Pradesh",28
"30","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","29 Karnataka",29
"31","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","30 Goa",30
"32","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","31 Lakshadweep",31
"33","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","32 Kerala",32
"34","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","33 Tamil Nadu",33
"35","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","34 Puducherry",34
"36","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","35 Andaman and Nicobar",35
"37","stateid","State ID",0,"haven_labelled;vctrs_vctr;double","36 Telangana",36
"38","state","State name",1,"character",NA,NA
"39","ssuid","Ssuid",0,"numeric",NA,NA
"40","residence","Place of residence",0,"haven_labelled;vctrs_vctr;double","1 Rural",1
"41","residence","Place of residence",0,"haven_labelled;vctrs_vctr;double","2 Urban",2
"42","cv_stateweight","CV_State weight",0,"numeric",NA,NA
"43","cv_indiaweight","CV_India weight",0,"numeric",NA,NA
"44","cv001","Total number of household members",0,"numeric",NA,NA
"45","cv003_1","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","1 Household head",1
"46","cv003_1","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","2 Spouse",2
"47","cv003_1","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","3 Son/daughter (Biological)",3
"48","cv003_1","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","4 Son/Daughter (Adopted/Foster/Step)",4
"49","cv003_1","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","5 Son-in-law or daughter-in-law",5
"50","cv003_1","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","6 Grandchild",6
"51","cv003_1","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","7 Parent",7
"52","cv003_1","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","8 Parent-in-law",8
"53","cv003_1","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","9 Brother or sister",9
"54","cv003_1","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","10 Brother-in-law or sister-in-law",10
"55","cv003_1","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","11 Niece or nephew",11
"56","cv003_1","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","12 Grandparents",12
"57","cv003_1","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","13 Live - in partner",13
"58","cv003_1","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","14 Other relatives",14
"59","cv003_1","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","15 Others, not related",15
"60","cv003_2","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","1 Household head",1
"61","cv003_2","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","2 Spouse",2
"62","cv003_2","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","3 Son/daughter (Biological)",3
"63","cv003_2","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","4 Son/Daughter (Adopted/Foster/Step)",4
"64","cv003_2","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","5 Son-in-law or daughter-in-law",5
"65","cv003_2","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","6 Grandchild",6
"66","cv003_2","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","7 Parent",7
"67","cv003_2","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","8 Parent-in-law",8
"68","cv003_2","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","9 Brother or sister",9
"69","cv003_2","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","10 Brother-in-law or sister-in-law",10
"70","cv003_2","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","11 Niece or nephew",11
"71","cv003_2","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","12 Grandparents",12
"72","cv003_2","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","13 Live - in partner",13
"73","cv003_2","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","14 Other relatives",14
"74","cv003_2","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","15 Others, not related",15
"75","cv003_3","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","1 Household head",1
"76","cv003_3","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","2 Spouse",2
"77","cv003_3","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","3 Son/daughter (Biological)",3
"78","cv003_3","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","4 Son/Daughter (Adopted/Foster/Step)",4
"79","cv003_3","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","5 Son-in-law or daughter-in-law",5
"80","cv003_3","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","6 Grandchild",6
"81","cv003_3","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","7 Parent",7
"82","cv003_3","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","8 Parent-in-law",8
"83","cv003_3","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","9 Brother or sister",9
"84","cv003_3","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","10 Brother-in-law or sister-in-law",10
"85","cv003_3","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","11 Niece or nephew",11
"86","cv003_3","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","12 Grandparents",12
"87","cv003_3","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","13 Live - in partner",13
"88","cv003_3","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","14 Other relatives",14
"89","cv003_3","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","15 Others, not related",15
"90","cv003_4","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","1 Household head",1
"91","cv003_4","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","2 Spouse",2
"92","cv003_4","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","3 Son/daughter (Biological)",3
"93","cv003_4","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","4 Son/Daughter (Adopted/Foster/Step)",4
"94","cv003_4","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","5 Son-in-law or daughter-in-law",5
"95","cv003_4","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","6 Grandchild",6
"96","cv003_4","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","7 Parent",7
"97","cv003_4","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","8 Parent-in-law",8
"98","cv003_4","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","9 Brother or sister",9
"99","cv003_4","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","10 Brother-in-law or sister-in-law",10
"100","cv003_4","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","11 Niece or nephew",11
"101","cv003_4","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","12 Grandparents",12
"102","cv003_4","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","13 Live - in partner",13
"103","cv003_4","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","14 Other relatives",14
"104","cv003_4","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","15 Others, not related",15
"105","cv003_5","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","1 Household head",1
"106","cv003_5","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","2 Spouse",2
"107","cv003_5","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","3 Son/daughter (Biological)",3
"108","cv003_5","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","4 Son/Daughter (Adopted/Foster/Step)",4
"109","cv003_5","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","5 Son-in-law or daughter-in-law",5
"110","cv003_5","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","6 Grandchild",6
"111","cv003_5","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","7 Parent",7
"112","cv003_5","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","8 Parent-in-law",8
"113","cv003_5","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","9 Brother or sister",9
"114","cv003_5","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","10 Brother-in-law or sister-in-law",10
"115","cv003_5","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","11 Niece or nephew",11
"116","cv003_5","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","12 Grandparents",12
"117","cv003_5","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","13 Live - in partner",13
"118","cv003_5","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","14 Other relatives",14
"119","cv003_5","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","15 Others, not related",15
"120","cv003_6","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","1 Household head",1
"121","cv003_6","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","2 Spouse",2
"122","cv003_6","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","3 Son/daughter (Biological)",3
"123","cv003_6","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","4 Son/Daughter (Adopted/Foster/Step)",4
"124","cv003_6","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","5 Son-in-law or daughter-in-law",5
"125","cv003_6","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","6 Grandchild",6
"126","cv003_6","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","7 Parent",7
"127","cv003_6","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","8 Parent-in-law",8
"128","cv003_6","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","9 Brother or sister",9
"129","cv003_6","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","10 Brother-in-law or sister-in-law",10
"130","cv003_6","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","11 Niece or nephew",11
"131","cv003_6","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","12 Grandparents",12
"132","cv003_6","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","13 Live - in partner",13
"133","cv003_6","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","14 Other relatives",14
"134","cv003_6","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","15 Others, not related",15
"135","cv003_7","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","1 Household head",1
"136","cv003_7","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","2 Spouse",2
"137","cv003_7","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","3 Son/daughter (Biological)",3
"138","cv003_7","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","4 Son/Daughter (Adopted/Foster/Step)",4
"139","cv003_7","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","5 Son-in-law or daughter-in-law",5
"140","cv003_7","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","6 Grandchild",6
"141","cv003_7","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","7 Parent",7
"142","cv003_7","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","8 Parent-in-law",8
"143","cv003_7","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","9 Brother or sister",9
"144","cv003_7","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","10 Brother-in-law or sister-in-law",10
"145","cv003_7","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","11 Niece or nephew",11
"146","cv003_7","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","12 Grandparents",12
"147","cv003_7","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","13 Live - in partner",13
"148","cv003_7","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","14 Other relatives",14
"149","cv003_7","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","15 Others, not related",15
"150","cv003_8","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","1 Household head",1
"151","cv003_8","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","2 Spouse",2
"152","cv003_8","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","3 Son/daughter (Biological)",3
"153","cv003_8","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","4 Son/Daughter (Adopted/Foster/Step)",4
"154","cv003_8","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","5 Son-in-law or daughter-in-law",5
"155","cv003_8","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","6 Grandchild",6
"156","cv003_8","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","7 Parent",7
"157","cv003_8","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","8 Parent-in-law",8
"158","cv003_8","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","9 Brother or sister",9
"159","cv003_8","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","10 Brother-in-law or sister-in-law",10
"160","cv003_8","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","11 Niece or nephew",11
"161","cv003_8","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","12 Grandparents",12
"162","cv003_8","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","13 Live - in partner",13
"163","cv003_8","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","14 Other relatives",14
"164","cv003_8","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","15 Others, not related",15
"165","cv003_9","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","1 Household head",1
"166","cv003_9","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","2 Spouse",2
"167","cv003_9","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","3 Son/daughter (Biological)",3
"168","cv003_9","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","4 Son/Daughter (Adopted/Foster/Step)",4
"169","cv003_9","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","5 Son-in-law or daughter-in-law",5
"170","cv003_9","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","6 Grandchild",6
"171","cv003_9","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","7 Parent",7
"172","cv003_9","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","8 Parent-in-law",8
"173","cv003_9","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","9 Brother or sister",9
"174","cv003_9","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","10 Brother-in-law or sister-in-law",10
"175","cv003_9","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","11 Niece or nephew",11
"176","cv003_9","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","12 Grandparents",12
"177","cv003_9","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","13 Live - in partner",13
"178","cv003_9","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","14 Other relatives",14
"179","cv003_9","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","15 Others, not related",15
"180","cv003_10","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","1 Household head",1
"181","cv003_10","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","2 Spouse",2
"182","cv003_10","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","3 Son/daughter (Biological)",3
"183","cv003_10","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","4 Son/Daughter (Adopted/Foster/Step)",4
"184","cv003_10","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","5 Son-in-law or daughter-in-law",5
"185","cv003_10","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","6 Grandchild",6
"186","cv003_10","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","7 Parent",7
"187","cv003_10","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","8 Parent-in-law",8
"188","cv003_10","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","9 Brother or sister",9
"189","cv003_10","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","10 Brother-in-law or sister-in-law",10
"190","cv003_10","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","11 Niece or nephew",11
"191","cv003_10","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","12 Grandparents",12
"192","cv003_10","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","13 Live - in partner",13
"193","cv003_10","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","14 Other relatives",14
"194","cv003_10","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","15 Others, not related",15
"195","cv003_11","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","1 Household head",1
"196","cv003_11","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","2 Spouse",2
"197","cv003_11","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","3 Son/daughter (Biological)",3
"198","cv003_11","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","4 Son/Daughter (Adopted/Foster/Step)",4
"199","cv003_11","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","5 Son-in-law or daughter-in-law",5
"200","cv003_11","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","6 Grandchild",6
"201","cv003_11","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","7 Parent",7
"202","cv003_11","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","8 Parent-in-law",8
"203","cv003_11","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","9 Brother or sister",9
"204","cv003_11","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","10 Brother-in-law or sister-in-law",10
"205","cv003_11","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","11 Niece or nephew",11
"206","cv003_11","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","12 Grandparents",12
"207","cv003_11","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","13 Live - in partner",13
"208","cv003_11","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","14 Other relatives",14
"209","cv003_11","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","15 Others, not related",15
"210","cv003_12","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","1 Household head",1
"211","cv003_12","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","2 Spouse",2
"212","cv003_12","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","3 Son/daughter (Biological)",3
"213","cv003_12","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","4 Son/Daughter (Adopted/Foster/Step)",4
"214","cv003_12","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","5 Son-in-law or daughter-in-law",5
"215","cv003_12","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","6 Grandchild",6
"216","cv003_12","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","7 Parent",7
"217","cv003_12","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","8 Parent-in-law",8
"218","cv003_12","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","9 Brother or sister",9
"219","cv003_12","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","10 Brother-in-law or sister-in-law",10
"220","cv003_12","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","11 Niece or nephew",11
"221","cv003_12","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","12 Grandparents",12
"222","cv003_12","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","13 Live - in partner",13
"223","cv003_12","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","14 Other relatives",14
"224","cv003_12","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","15 Others, not related",15
"225","cv003_13","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","1 Household head",1
"226","cv003_13","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","2 Spouse",2
"227","cv003_13","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","3 Son/daughter (Biological)",3
"228","cv003_13","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","4 Son/Daughter (Adopted/Foster/Step)",4
"229","cv003_13","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","5 Son-in-law or daughter-in-law",5
"230","cv003_13","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","6 Grandchild",6
"231","cv003_13","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","7 Parent",7
"232","cv003_13","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","8 Parent-in-law",8
"233","cv003_13","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","9 Brother or sister",9
"234","cv003_13","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","10 Brother-in-law or sister-in-law",10
"235","cv003_13","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","11 Niece or nephew",11
"236","cv003_13","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","12 Grandparents",12
"237","cv003_13","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","13 Live - in partner",13
"238","cv003_13","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","14 Other relatives",14
"239","cv003_13","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","15 Others, not related",15
"240","cv003_14","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","1 Household head",1
"241","cv003_14","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","2 Spouse",2
"242","cv003_14","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","3 Son/daughter (Biological)",3
"243","cv003_14","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","4 Son/Daughter (Adopted/Foster/Step)",4
"244","cv003_14","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","5 Son-in-law or daughter-in-law",5
"245","cv003_14","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","6 Grandchild",6
"246","cv003_14","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","7 Parent",7
"247","cv003_14","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","8 Parent-in-law",8
"248","cv003_14","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","9 Brother or sister",9
"249","cv003_14","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","10 Brother-in-law or sister-in-law",10
"250","cv003_14","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","11 Niece or nephew",11
"251","cv003_14","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","12 Grandparents",12
"252","cv003_14","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","13 Live - in partner",13
"253","cv003_14","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","14 Other relatives",14
"254","cv003_14","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","15 Others, not related",15
"255","cv003_15","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","1 Household head",1
"256","cv003_15","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","2 Spouse",2
"257","cv003_15","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","3 Son/daughter (Biological)",3
"258","cv003_15","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","4 Son/Daughter (Adopted/Foster/Step)",4
"259","cv003_15","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","5 Son-in-law or daughter-in-law",5
"260","cv003_15","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","6 Grandchild",6
"261","cv003_15","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","7 Parent",7
"262","cv003_15","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","8 Parent-in-law",8
"263","cv003_15","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","9 Brother or sister",9
"264","cv003_15","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","10 Brother-in-law or sister-in-law",10
"265","cv003_15","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","11 Niece or nephew",11
"266","cv003_15","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","12 Grandparents",12
"267","cv003_15","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","13 Live - in partner",13
"268","cv003_15","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","14 Other relatives",14
"269","cv003_15","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","15 Others, not related",15
"270","cv003_16","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","1 Household head",1
"271","cv003_16","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","2 Spouse",2
"272","cv003_16","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","3 Son/daughter (Biological)",3
"273","cv003_16","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","4 Son/Daughter (Adopted/Foster/Step)",4
"274","cv003_16","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","5 Son-in-law or daughter-in-law",5
"275","cv003_16","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","6 Grandchild",6
"276","cv003_16","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","7 Parent",7
"277","cv003_16","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","8 Parent-in-law",8
"278","cv003_16","Relationship to HH head",0,"haven_labelled;vctrs_vctr;double","9 Brother or sister",9
